wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-09-30,31223,0,8,31,35,20,6,1,0,0.16,0.93,1.4,1,0.36,0.07,3.92
2022-09-29,30477,0,4,23,36,24,11,2,0,0.08,0.69,1.44,1.2,0.66,0.14,4.21
2022-09-28,31335,0,3,21,38,26,9,1,0,0.06,0.63,1.52,1.3,0.54,0.07,4.12
2022-09-27,30985,0,2,18,38,28,11,2,0,0.04,0.54,1.52,1.4,0.66,0.14,4.3
2022-09-26,31716,0,5,23,38,24,7,1,0,0.1,0.69,1.52,1.2,0.42,0.07,4
2022-09-25,28994,0,10,25,34,22,8,1,0,0.2,0.75,1.36,1.1,0.48,0.07,3.96
2022-09-24,32777,1,14,29,28,16,8,3,0.01,0.28,0.87,1.12,0.8,0.48,0.21,3.77
2022-09-23,31509,0,6,30,39,19,5,0,0,0.12,0.9,1.56,0.95,0.3,0,3.83
2022-09-22,34455,1,14,35,29,15,5,1,0.01,0.28,1.05,1.16,0.75,0.3,0.07,3.62
2022-09-21,31976,0,5,30,35,21,8,1,0,0.1,0.9,1.4,1.05,0.48,0.07,4
2022-09-20,31277,0,6,20,33,27,12,2,0,0.12,0.6,1.32,1.35,0.72,0.14,4.25
2022-09-19,35050,0,5,24,25,18,17,11,0,0.1,0.72,1,0.9,1.02,0.77,4.51
2022-09-18,33102,1,9,36,35,14,4,0,0.01,0.18,1.08,1.4,0.7,0.24,0,3.61
2022-09-17,33418,0,11,37,36,12,3,0,0,0.22,1.11,1.44,0.6,0.18,0,3.55
2022-09-16,37309,0,0,4,11,15,22,48,0,0,0.12,0.44,0.75,1.32,3.36,5.99
2022-09-15,33344,1,12,32,34,16,4,0,0.01,0.24,0.96,1.36,0.8,0.24,0,3.61
2022-09-14,32142,1,5,24,41,23,5,0,0.01,0.1,0.72,1.64,1.15,0.3,0,3.92
2022-09-13,29497,0,3,19,40,28,9,1,0,0.06,0.57,1.6,1.4,0.54,0.07,4.24
2022-09-12,29147,0,1,7,27,38,23,4,0,0.02,0.21,1.08,1.9,1.38,0.28,4.87
2022-09-11,27887,0,1,14,40,30,12,2,0,0.02,0.42,1.6,1.5,0.72,0.14,4.4
2022-09-10,29237,0,4,19,34,27,13,3,0,0.08,0.57,1.36,1.35,0.78,0.21,4.35
2022-09-09,32172,0,8,29,40,18,4,0,0,0.16,0.87,1.6,0.9,0.24,0,3.77
2022-09-08,31962,0,4,21,32,22,13,7,0,0.08,0.63,1.28,1.1,0.78,0.49,4.36
2022-09-07,30992,0,3,17,37,28,12,2,0,0.06,0.51,1.48,1.4,0.72,0.14,4.31
2022-09-06,32734,0,4,19,27,21,16,13,0,0.08,0.57,1.08,1.05,0.96,0.91,4.65
2022-09-05,32733,0,1,16,47,29,7,1,0,0.02,0.48,1.88,1.45,0.42,0.07,4.32
2022-09-04,32018,0,6,25,36,23,8,1,0,0.12,0.75,1.44,1.15,0.48,0.07,4.01
2022-09-03,31191,0,1,9,27,31,25,7,0,0.02,0.27,1.08,1.55,1.5,0.49,4.91
2022-09-02,35724,1,12,32,34,16,5,1,0.01,0.24,0.96,1.36,0.8,0.3,0.07,3.74
2022-09-01,31903,0,2,18,41,28,9,1,0,0.04,0.54,1.64,1.4,0.54,0.07,4.23
